artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
Meghan Trainor,dance pop,2016,0,0,0,0,18,1,40,0,79,negative
Rihanna,barbadian pop,2016,0,0,1,0,9,0,8,1,78,positive
Shawn Mendes,canadian pop,2016,1,1,1,0,5,0,2,1,78,positive
G-Eazy,hip hop,2016,0,0,1,0,16,1,2,1,78,negative
Mike Posner,dance pop,2016,0,0,1,0,8,0,4,1,78,positive
Ariana Grande,dance pop,2016,1,0,1,1,36,1,5,0,78,negative
Hailee Steinfeld,dance pop,2016,0,0,1,1,11,0,38,1,78,negative
Little Mix,dance pop,2016,1,1,1,1,11,1,2,1,77,positive
BØRNS,electropop,2016,1,1,0,0,26,0,1,1,76,positive
Demi Lovato,dance pop,2016,1,1,0,0,9,0,0,1,75,negative
Drake,canadian hip hop,2016,0,0,1,0,10,1,5,1,74,negative
The Chainsmokers,electropop,2016,0,1,1,0,31,1,4,1,74,negative
Major Lazer,dance pop,2016,0,1,0,1,16,0,7,0,73,negative
Meghan Trainor,dance pop,2016,1,0,1,0,48,0,10,1,73,positive
Major Lazer,dance pop,2016,0,1,1,1,23,0,4,1,73,positive
Jennifer Lopez,dance pop,2016,1,0,1,0,7,0,5,1,72,positive
Nick Jonas,dance pop,2016,1,0,0,1,14,1,25,1,72,negative
DNCE,dance pop,2016,0,1,0,0,47,1,12,1,72,positive
The Chainsmokers,electropop,2016,0,0,1,0,12,0,10,0,72,negative
MØ,dance pop,2016,0,0,1,0,8,1,1,0,72,negative
Justin Bieber,canadian pop,2016,0,1,0,1,8,0,13,1,72,negative
Selena Gomez,dance pop,2016,0,0,1,0,34,0,1,1,71,negative
Adele,british soul,2016,1,0,0,1,15,1,88,0,71,negative
P!nk,dance pop,2016,1,0,0,0,11,0,1,1,71,negative
Meghan Trainor,dance pop,2016,0,1,0,1,74,0,1,1,70,positive
Selena Gomez,dance pop,2016,1,1,1,1,10,0,1,0,70,negative
Tove Lo,dance pop,2016,0,0,1,0,8,0,31,1,69,negative
Naughty Boy,tropical house,2016,1,1,0,0,48,0,1,1,69,negative
Alessia Cara,canadian contemporary r&b,2016,1,1,0,1,8,0,8,1,68,negative
Lady Gaga,dance pop,2016,1,1,0,1,36,0,0,0,67,positive
ZAYN,dance pop,2016,1,0,0,1,9,0,10,1,66,negative
Taylor Swift,pop,2016,0,1,0,0,34,1,0,0,66,negative
Katy Perry,dance pop,2016,0,0,0,0,11,0,5,1,66,negative
OneRepublic,dance pop,2016,0,0,0,0,27,0,9,0,66,negative
Demi Lovato,dance pop,2016,0,1,0,1,28,0,0,0,65,negative
Shawn Mendes,canadian pop,2016,1,0,0,0,10,0,60,0,65,negative
ZAYN,dance pop,2016,0,1,0,0,26,0,2,1,65,negative
Sia,australian dance,2016,0,1,0,1,8,1,6,1,64,positive
Bebe Rexha,dance pop,2016,0,1,0,1,9,0,5,1,64,negative
Carly Rae Jepsen,canadian pop,2016,0,0,0,0,5,1,1,1,63,negative
Snakehips,dance pop,2016,0,1,0,1,16,1,2,1,63,negative
Adele,british soul,2016,1,0,1,0,17,1,4,1,61,positive
Missy Elliott,dance pop,2016,1,1,1,1,6,0,2,1,58,positive
Years & Years,dance pop,2016,1,1,1,1,30,0,30,1,58,positive
Adele,british soul,2016,1,0,0,0,9,1,35,1,58,negative
Shawn Mendes,canadian pop,2016,0,1,1,1,16,1,11,1,57,positive
Florence + The Machine,art pop,2016,0,0,0,0,13,1,72,0,57,negative
Emeli Sandé,dance pop,2016,0,0,0,0,15,1,2,0,57,negative
Christina Aguilera,dance pop,2016,0,0,0,0,13,0,68,1,54,negative
Britney Spears,dance pop,2016,1,0,1,0,22,1,16,1,53,positive
Birdy,neo mellow,2016,1,1,0,1,19,0,16,1,52,positive
Zedd,complextro,2016,1,1,0,1,10,1,40,0,51,negative
Gwen Stefani,dance pop,2016,0,0,1,1,13,0,4,1,50,positive
Nick Jonas,dance pop,2016,0,1,1,1,9,0,0,1,50,positive
DNCE,dance pop,2016,1,1,0,1,10,0,0,0,48,positive
John Legend,neo mellow,2016,0,0,0,0,9,1,99,0,47,negative
Missy Elliott,dance pop,2016,0,1,1,1,20,1,22,1,47,negative
Carly Rae Jepsen,canadian pop,2016,0,1,0,1,37,1,1,1,46,negative
Britney Spears,dance pop,2016,0,0,0,0,9,0,3,1,44,negative
Charlie Puth,dance pop,2016,0,0,1,1,13,0,26,0,41,positive
Passenger,folk-pop,2016,0,0,0,0,11,0,91,0,36,negative
Hilary Duff,dance pop,2016,1,1,0,0,4,0,0,1,36,negative
Britney Spears,dance pop,2016,1,0,1,0,11,0,1,1,34,negative
Janet Jackson,dance pop,2016,1,0,1,0,31,1,5,1,31,positive
Joey Montana,latin,2016,1,1,1,1,37,1,9,1,29,positive
Nelly Furtado,canadian latin,2016,0,0,1,0,7,1,25,0,18,positive
Adele,british soul,2016,0,0,0,0,0,1,0,0,0,negative
Ed Sheeran,pop,2017,0,0,1,1,9,1,58,1,87,positive
The Chainsmokers,electropop,2017,0,0,1,0,11,1,41,0,86,positive
The Weeknd,canadian contemporary r&b,2017,1,0,1,0,14,1,14,1,85,negative
Shawn Mendes,canadian pop,2017,0,1,0,1,11,0,11,1,84,positive
Bruno Mars,pop,2017,1,0,1,1,9,0,1,0,83,positive
DJ Snake,electronic trap,2017,0,0,0,1,14,0,9,0,82,negative
The Weeknd,canadian contemporary r&b,2017,0,1,1,0,7,1,43,1,81,positive
Shawn Mendes,canadian pop,2017,1,0,0,1,11,0,13,1,81,negative
Ariana Grande,dance pop,2017,1,1,0,0,24,1,5,1,80,positive
Zedd,complextro,2017,0,0,1,1,12,0,25,1,80,positive
Kygo,edm,2017,0,0,0,0,9,1,12,1,79,positive
Miley Cyrus,dance pop,2017,1,1,0,0,8,1,8,1,78,negative
The Chainsmokers,electropop,2017,0,0,0,0,17,1,3,0,78,negative
Clean Bandit,dance pop,2017,0,1,1,1,18,1,41,1,78,positive
ZAYN,dance pop,2017,0,0,1,0,33,1,6,1,78,negative
Calvin Harris,dance pop,2017,1,1,1,1,16,0,9,0,78,positive
DJ Khaled,dance pop,2017,0,0,0,1,17,1,6,0,77,positive
Kesha,dance pop,2017,0,0,0,0,11,1,49,0,77,negative
Luis Fonsi,latin,2017,1,1,0,1,10,1,23,1,76,positive
Sia,australian dance,2017,1,0,1,0,6,0,1,1,76,positive
Martin Garrix,big room,2017,0,0,0,0,12,1,12,1,76,negative
The Chainsmokers,electropop,2017,0,0,0,0,9,1,2,0,76,negative
Camila Cabello,dance pop,2017,0,0,0,0,16,0,33,1,75,positive
Jonas Blue,dance pop,2017,0,1,1,1,5,0,10,0,75,positive
Calvin Harris,dance pop,2017,0,1,1,1,25,1,50,1,75,negative
Katy Perry,dance pop,2017,1,0,1,1,10,1,2,0,73,positive
Katy Perry,dance pop,2017,1,1,0,1,20,1,8,1,72,negative
Maroon 5,pop,2017,0,0,1,0,5,1,14,1,72,negative
Lana Del Rey,art pop,2017,0,0,0,0,11,1,49,0,72,negative
CNCO,boy band,2017,0,1,0,1,10,0,15,1,71,positive
Adele,british soul,2017,1,0,0,1,15,1,88,0,71,negative
Kygo,edm,2017,0,0,0,0,10,0,20,1,71,positive
Lady Gaga,dance pop,2017,0,0,1,1,9,0,8,0,71,positive
Alessia Cara,canadian contemporary r&b,2017,1,0,0,0,7,0,16,1,71,negative
Cardi B,pop,2017,1,0,1,0,35,1,7,1,70,negative
OneRepublic,dance pop,2017,0,1,0,1,36,0,17,1,70,negative
Alan Walker,electro house,2017,1,1,1,1,15,0,4,1,70,negative
Sigala,dance pop,2017,1,1,1,1,12,0,3,0,70,positive
Bruno Mars,pop,2017,0,1,1,1,15,1,3,1,69,positive
Liam Payne,dance pop,2017,0,0,1,1,8,0,20,1,69,positive
Carly Rae Jepsen,canadian pop,2017,0,1,1,1,30,0,1,1,69,positive
Robin Schulz,dance pop,2017,1,1,0,0,13,0,12,1,69,positive
Katy Perry,dance pop,2017,0,1,1,0,22,1,13,1,68,positive
Lana Del Rey,art pop,2017,1,0,1,0,20,1,2,1,67,negative
Zedd,complextro,2017,0,1,1,1,5,0,3,1,66,positive
DNCE,dance pop,2017,1,1,1,0,9,0,5,0,66,positive
Niall Horan,dance pop,2017,0,0,1,0,6,0,1,1,64,positive
Miley Cyrus,dance pop,2017,1,1,0,1,14,1,0,1,62,negative
DNCE,dance pop,2017,0,0,0,1,4,1,0,0,62,positive
Lost Frequencies,belgian edm,2017,1,0,1,0,8,0,2,0,59,positive
Fifth Harmony,dance pop,2017,1,0,1,0,35,0,0,0,59,negative
Little Mix,dance pop,2017,0,1,0,1,49,0,4,1,59,positive
Charlie Puth,dance pop,2017,0,1,1,1,45,0,49,1,59,positive
Cashmere Cat,downtempo,2017,1,0,0,0,20,0,6,1,59,negative
OneRepublic,dance pop,2017,0,1,1,1,14,1,8,0,57,positive
Galantis,big room,2017,0,1,1,1,8,0,7,1,55,positive
Lana Del Rey,art pop,2017,0,0,0,0,36,1,58,1,54,negative
Pitbull,dance pop,2017,0,1,1,0,36,1,28,1,54,positive
Tove Lo,dance pop,2017,0,0,1,0,11,1,10,1,54,negative
Nick Jonas,dance pop,2017,0,0,1,0,4,0,14,1,53,positive
Pitbull,dance pop,2017,1,1,0,1,4,1,2,1,51,positive
Adele,british soul,2017,0,1,0,0,11,1,2,1,49,negative
Sia,australian dance,2017,0,0,0,1,14,1,85,0,44,negative
DNCE,dance pop,2017,1,1,1,0,8,0,8,1,43,positive
Coldplay,permanent wave,2017,1,1,0,1,21,1,0,0,41,negative
Calvin Harris,dance pop,2018,1,1,1,1,8,0,4,1,86,positive
Camila Cabello,dance pop,2018,0,0,1,1,13,0,18,0,85,negative
Cardi B,pop,2018,1,0,1,1,37,1,10,1,85,positive
Dua Lipa,dance pop,2018,0,0,1,0,15,0,0,1,84,positive
Shawn Mendes,canadian pop,2018,1,1,1,1,8,0,38,1,84,positive
Ariana Grande,dance pop,2018,1,0,1,0,29,0,4,1,84,negative
Dua Lipa,dance pop,2018,0,0,1,0,8,0,4,1,84,negative
Shawn Mendes,canadian pop,2018,1,0,0,0,13,0,6,1,83,negative
Selena Gomez,dance pop,2018,1,1,1,1,20,0,12,0,83,negative
ZAYN,dance pop,2018,1,0,0,0,11,1,10,0,83,negative
Charlie Puth,dance pop,2018,0,0,1,1,13,0,11,1,83,positive
Silk City,edm,2018,0,0,0,0,34,1,1,1,82,negative
Rihanna,barbadian pop,2018,1,0,0,1,8,1,7,1,82,negative
Hailee Steinfeld,dance pop,2018,0,0,1,1,8,0,3,1,82,positive
Marshmello,brostep,2018,1,1,0,1,17,0,26,1,82,negative
Demi Lovato,dance pop,2018,1,0,1,0,26,0,2,1,81,positive
Lady Gaga,dance pop,2018,0,0,0,0,9,0,42,0,80,negative
Rudimental,dance pop,2018,0,1,0,1,17,0,19,1,80,positive
Maroon 5,pop,2018,0,0,1,1,10,0,8,1,79,negative
Bruno Mars,pop,2018,0,1,1,1,2,0,2,1,78,positive
Ed Sheeran,pop,2018,0,0,0,0,12,1,78,0,78,negative
Halsey,dance pop,2018,0,1,1,1,9,0,6,0,78,positive
G-Eazy,hip hop,2018,0,0,0,0,31,1,5,1,78,negative
Justin Bieber,canadian pop,2018,0,0,1,1,30,0,0,0,77,positive
DJ Khaled,dance pop,2018,0,0,1,1,12,0,3,1,76,positive
Troye Sivan,dance pop,2018,0,0,1,0,5,0,0,1,76,negative
Hailee Steinfeld,dance pop,2018,0,1,1,0,5,0,3,1,76,negative
The Chainsmokers,electropop,2018,0,0,1,0,12,0,11,1,76,negative
Dan + Shay,contemporary country,2018,0,0,0,0,13,0,3,0,76,negative
Taylor Swift,pop,2018,1,0,1,0,13,0,20,1,75,negative
Shawn Mendes,canadian pop,2018,0,0,0,0,13,0,56,1,75,negative
Selena Gomez,dance pop,2018,1,0,1,0,8,0,19,1,75,positive
Rita Ora,dance pop,2018,0,1,0,1,10,0,4,1,74,negative
Justin Timberlake,dance pop,2018,0,0,1,0,8,1,10,1,74,negative
Nicki Minaj,dance pop,2018,1,0,1,1,11,0,28,1,73,negative
Harry Styles,dance pop,2018,1,0,0,1,11,1,3,0,72,negative
Liam Payne,dance pop,2018,0,1,0,1,8,0,2,1,72,positive
ZAYN,dance pop,2018,1,0,0,0,10,0,24,1,72,negative
Ansel Elgort,dance pop,2018,1,0,1,1,21,0,6,1,72,positive
Shawn Mendes,canadian pop,2018,1,0,1,0,13,0,4,1,71,positive
Kygo,edm,2018,0,0,0,0,10,0,20,1,71,positive
Taylor Swift,pop,2018,1,0,0,0,11,1,1,1,70,negative
J Balvin,latin,2018,0,0,1,0,23,0,2,1,68,negative
N.E.R.D,hip hop,2018,0,0,1,0,12,0,0,1,68,negative
Liam Payne,dance pop,2018,0,1,0,1,42,1,2,0,67,negative
Dua Lipa,dance pop,2018,0,0,0,1,6,0,8,1,67,negative
Hayley Kiyoko,dance pop,2018,0,1,0,1,16,0,5,1,67,negative
Maroon 5,pop,2018,1,0,1,1,11,0,10,1,67,negative
P!nk,dance pop,2018,0,0,0,0,9,1,3,1,66,negative
DNCE,dance pop,2018,1,1,1,0,9,0,5,0,66,positive
David Guetta,dance pop,2018,1,0,0,0,23,0,23,1,65,positive
Eminem,detroit hip hop,2018,0,0,0,0,64,1,81,1,65,positive
Niall Horan,dance pop,2018,0,0,1,0,12,1,70,0,64,negative
Rita Ora,dance pop,2018,0,0,1,1,10,1,2,1,64,negative
Enrique Iglesias,dance pop,2018,0,1,1,1,7,0,3,1,64,positive
Cashmere Cat,downtempo,2018,0,0,1,1,11,0,25,1,64,negative
Justin Timberlake,dance pop,2018,0,0,1,0,25,1,4,1,62,positive
Camila Cabello,dance pop,2018,1,0,0,1,12,1,16,1,57,negative
Bebe Rexha,dance pop,2018,0,0,0,0,10,0,2,0,57,negative
Justin Timberlake,dance pop,2018,1,0,1,0,13,1,1,1,57,negative
RedOne,moroccan pop,2018,0,1,1,0,20,1,0,1,53,positive
Taylor Swift,pop,2018,1,1,0,1,10,0,13,1,52,negative
Cardi B,pop,2018,1,0,1,0,8,1,5,1,45,negative
Demi Lovato,dance pop,2018,0,1,0,1,9,0,5,1,44,positive
Maroon 5,pop,2019,0,0,1,0,8,0,84,1,99,positive
Selena Gomez,dance pop,2019,0,0,0,0,21,0,58,0,97,negative
Lewis Capaldi,pop,2019,0,0,0,0,11,0,75,0,96,negative
Shawn Mendes,canadian pop,2019,0,0,1,0,9,0,4,0,95,positive
Sam Smith,pop,2019,0,0,0,1,8,0,15,1,93,negative
Ed Sheeran,pop,2019,0,0,1,0,9,0,15,1,92,positive
SHAED,electropop,2019,1,0,0,0,14,0,56,0,92,negative
Marshmello,brostep,2019,0,1,1,1,17,0,19,1,90,positive
Lizzo,escape room,2019,1,0,1,1,12,0,11,1,90,negative
Lizzo,escape room,2019,0,1,1,1,74,0,30,1,90,negative
Kygo,edm,2019,0,0,1,0,10,1,2,0,88,negative
Jonas Brothers,boy band,2019,0,0,1,0,6,0,11,1,87,positive
Ed Sheeran,pop,2019,0,0,0,0,8,0,12,1,86,positive
Jonas Brothers,boy band,2019,1,0,1,1,11,0,4,1,86,positive
Mabel,dance pop,2019,0,1,1,1,8,0,30,1,86,negative
Ed Sheeran,pop,2019,0,0,1,1,9,0,9,0,85,positive
Khalid,alternative r&b,2019,1,0,1,0,6,0,5,1,84,negative
Calvin Harris,dance pop,2019,1,1,1,1,8,1,2,0,84,positive
The Chainsmokers,electropop,2019,0,0,0,0,10,0,13,0,83,negative
R3HAB,big room,2019,1,1,1,1,11,0,48,0,82,positive
Maroon 5,pop,2019,1,0,1,0,13,1,57,1,81,negative
The Chainsmokers,electropop,2019,0,0,0,0,34,0,20,0,81,positive
Chris Brown,dance pop,2019,0,0,1,0,16,1,12,1,81,negative
Ed Sheeran,pop,2019,1,1,1,1,36,0,13,1,78,positive
DJ Snake,electronic trap,2019,0,1,1,1,6,0,16,1,77,positive
Daddy Yankee,latin,2019,0,1,1,1,4,0,17,1,76,positive
Mark Ronson,dance pop,2019,0,0,0,0,20,0,1,0,75,negative
Ed Sheeran,pop,2019,0,1,1,0,7,0,21,1,75,positive
DJ Khaled,dance pop,2019,1,1,0,1,9,1,7,1,70,positive
Mark Ronson,dance pop,2019,0,1,0,0,42,0,1,1,69,negative
The Chainsmokers,electropop,2019,1,0,1,0,13,0,6,1,67,negative
