artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
Lady Gaga,dance pop,2011,1,1,0,1,46,1,0,1,61,negative
Beyoncé,dance pop,2011,0,0,0,0,7,1,38,0,60,negative
Britney Spears,dance pop,2011,1,0,0,1,24,1,1,0,59,negative
Jennifer Lopez,dance pop,2011,0,1,0,1,8,0,2,1,59,positive
Jennifer Lopez,dance pop,2011,1,1,1,1,37,1,13,1,58,positive
Rihanna,barbadian pop,2011,0,1,0,1,29,1,2,0,58,positive
Rihanna,barbadian pop,2011,1,1,1,1,5,1,5,1,54,positive
Tinie Tempah,dance pop,2011,0,1,0,1,18,0,6,1,52,positive
Christina Perri,dance pop,2011,0,0,0,0,12,1,73,0,50,negative
T.I.,atl hip hop,2011,0,1,0,1,26,1,7,1,49,positive
Sleeping At Last,acoustic pop,2011,1,0,0,0,11,1,91,0,46,negative
Nicki Minaj,dance pop,2011,1,1,1,0,40,0,6,1,38,positive
P!nk,dance pop,2011,1,0,1,0,12,0,0,1,38,positive
Jennifer Lopez,dance pop,2011,1,1,1,1,32,0,2,1,31,positive
Nicki Minaj,dance pop,2011,1,1,0,1,22,1,39,1,28,negative
Katy Perry,dance pop,2011,1,1,0,1,67,1,0,0,27,positive
Katy Perry,dance pop,2011,1,1,0,1,11,1,14,1,25,positive
Nicki Minaj,dance pop,2011,0,0,1,1,19,1,56,1,7,positive
David Guetta,dance pop,2012,1,1,0,1,13,1,7,1,80,negative
Bruno Mars,pop,2012,1,0,1,1,31,1,5,0,79,positive
Coldplay,permanent wave,2012,1,0,0,0,8,1,5,0,79,negative
Maroon 5,pop,2012,0,1,1,1,29,1,2,0,79,positive
One Direction,boy band,2012,1,1,1,1,6,0,1,1,78,positive
Taylor Swift,pop,2012,0,0,0,0,3,0,0,0,77,positive
Carly Rae Jepsen,canadian pop,2012,1,0,1,0,11,0,1,0,76,positive
Selena Gomez & The Scene,dance pop,2012,0,0,1,1,7,0,8,1,76,positive
Adele,british soul,2012,0,0,0,1,13,1,0,0,76,negative
Taylor Swift,pop,2012,0,0,0,0,12,0,1,1,75,positive
Kelly Clarkson,dance pop,2012,0,1,0,1,11,1,5,1,74,positive
P!nk,dance pop,2012,0,0,1,0,9,1,0,0,74,positive
Nicki Minaj,dance pop,2012,1,0,1,1,25,0,14,1,73,positive
Maroon 5,pop,2012,0,1,1,1,8,0,6,0,73,positive
Owl City,pop,2012,1,1,0,1,37,0,2,1,73,positive
The Wanted,boy band,2012,1,1,1,1,11,0,3,1,72,negative
Justin Bieber,canadian pop,2012,1,1,0,1,7,1,0,1,72,positive
Pitbull,dance pop,2012,1,1,1,1,34,1,1,1,72,positive
fun.,baroque pop,2012,0,1,1,0,9,1,2,1,72,negative
Justin Bieber,canadian pop,2012,0,0,1,0,13,0,4,1,71,negative
Katy Perry,dance pop,2012,1,1,1,1,7,0,0,0,71,positive
Jessie J,australian pop,2012,1,0,1,1,4,1,1,0,69,positive
Rihanna,barbadian pop,2012,1,1,1,0,22,1,0,1,68,negative
Katy Perry,dance pop,2012,1,0,0,1,39,1,7,0,68,positive
Katy Perry,dance pop,2012,1,1,1,1,16,1,0,0,67,positive
Jennifer Lopez,dance pop,2012,1,1,1,1,10,1,2,1,66,positive
Chris Brown,dance pop,2012,1,1,0,0,16,1,0,1,65,positive
Ellie Goulding,dance pop,2012,1,1,1,0,13,0,3,0,65,positive
fun.,baroque pop,2012,1,0,0,0,8,1,2,1,63,positive
Rihanna,barbadian pop,2012,0,0,0,1,11,1,0,1,61,negative
Pitbull,dance pop,2012,1,1,1,1,38,0,1,1,59,positive
Rihanna,barbadian pop,2012,1,0,1,1,13,0,50,0,57,positive
Gym Class Heroes,dance pop,2012,0,1,0,1,27,0,3,1,54,positive
Bruno Mars,pop,2012,1,1,0,0,8,1,34,1,38,negative
P!nk,dance pop,2012,0,1,0,1,25,1,0,0,0,positive
Kelly Clarkson,dance pop,2013,1,1,0,1,21,1,0,1,88,positive
Avicii,big room,2013,1,1,0,0,16,1,0,1,85,positive
One Direction,boy band,2013,1,0,0,0,12,1,23,1,81,negative
P!nk,dance pop,2013,0,0,1,0,13,1,35,1,81,negative
The Script,celtic rock,2013,0,1,0,1,12,0,7,1,80,positive
Katy Perry,dance pop,2013,1,1,0,1,35,1,0,0,78,negative
Miley Cyrus,dance pop,2013,0,0,0,0,37,1,1,0,78,negative
Swedish House Mafia,big room,2013,1,1,0,1,12,0,11,1,78,negative
Daft Punk,electro,2013,0,1,1,0,10,1,4,0,77,positive
Miley Cyrus,dance pop,2013,1,0,0,0,11,1,41,0,77,negative
James Arthur,pop,2013,1,0,0,1,11,0,14,1,77,negative
Robin Thicke,dance pop,2013,1,0,1,1,8,1,0,0,76,positive
Demi Lovato,dance pop,2013,1,1,0,1,24,0,7,1,76,negative
Taylor Swift,pop,2013,0,0,0,0,12,0,1,1,75,positive
Kesha,dance pop,2013,1,0,1,1,22,0,0,1,75,positive
Zedd,complextro,2013,1,1,0,1,7,1,4,1,75,negative
Lana Del Rey,art pop,2013,1,1,0,0,13,0,2,1,74,negative
Calvin Harris,dance pop,2013,1,1,0,1,12,0,13,1,74,negative
Neon Trees,indie pop,2013,1,1,0,1,31,0,0,1,74,positive
Drake,canadian hip hop,2013,0,0,1,0,7,1,0,1,73,negative
One Direction,boy band,2013,0,1,0,1,8,0,2,1,73,negative
One Direction,boy band,2013,0,1,0,1,32,0,2,1,73,positive
Calvin Harris,dance pop,2013,1,1,0,1,6,0,20,1,72,positive
Daft Punk,electro,2013,0,0,1,0,8,1,8,1,72,positive
Britney Spears,dance pop,2013,1,1,0,0,7,1,16,1,71,positive
Sara Bareilles,acoustic pop,2013,1,1,0,1,4,1,1,1,71,positive
Macklemore & Ryan Lewis,dance pop,2013,1,1,0,1,10,1,3,1,70,positive
Pitbull,dance pop,2013,1,1,1,1,34,1,4,1,70,positive
